x,y,token
-62.69798,-3.1577857,done
-2.2733655,-31.878546,last
53.171597,-19.636906,sea
11.889421,50.276962,word
5.654635,70.9554,23
1.9384238,-38.975506,still
-19.926039,47.60107,If
5.139788,50.106186,saith
-18.376741,-9.649153,same
0.6472442,61.887398,Now
24.990704,-50.375195,face
33.611877,-23.571917,its
60.068893,21.738995,days
35.168446,33.894356,found
8.859046,-52.201244,voice
27.269764,47.03185,took
27.39562,45.395718,brought
-10.0374365,14.551516,world
-30.420198,12.433693,just
-4.0663667,19.335693,another
5.180414,70.99252,24
-37.6638,29.757421,This
42.61525,63.55018,sons
-19.765862,44.230648,As
63.977386,20.867735,three
-11.784743,53.261765,hast
24.235897,33.283424,forth
59.146328,-23.479252,night
44.46828,38.658966,side
-2.375815,47.368652,therefore
41.13146,30.187948,set
-17.416132,10.152809,There
62.161873,3.9575315,round
15.376772,19.762995,young
24.510815,53.34519,called
-56.38903,-43.672337,Miss
25.135395,68.13485,mother
26.423813,64.13485,David
-1.8948561,49.03465,hear
-10.517642,-59.299255,cried
11.499219,-58.066174,back
-12.562665,-36.42378,seemed
5.7515383,70.97395,25
10.650866,11.354545,Of
25.0468,41.633728,pass
46.604282,-2.073189,under
-27.416985,13.635637,right
1.8214742,39.23137,love
-55.11337,13.424674,tell
10.242678,-20.985668,while
5.337986,71.01967,26
11.821291,51.47944,words
-18.550373,43.10471,When
-32.25854,16.133171,look
-45.114822,2.470663,quite
-63.130627,-27.220396,soon
-15.648207,51.571827,thine
39.509434,42.9359,city
61.25455,22.369507,years
35.171703,33.874035,left
28.001562,6.4191065,hands
2.032679,17.976145,both
-44.59122,1.8263417,always
-3.3086352,-56.296467,looked
7.7877483,47.20418,Jesus
10.645955,21.92455,neither
-45.864883,26.517525,Oh
-23.598972,-57.461693,herself
-16.711304,51.083214,mine
6.047913,71.06348,27
28.423132,37.96705,together
22.551586,52.16068,sent
-21.446957,-18.196054,whole
-8.870278,43.662205,bring
15.740881,22.083807,woman
-29.628778,-6.1301794,seen
-47.09932,23.297855,No
-50.868355,17.478273,.--
53.047226,14.714693,thereof
45.479824,-49.02791,whale
-36.60594,26.425642,We
-1.8363765,49.05471,speak
31.599756,-59.845448,stood
18.517174,12.838305,till
27.244247,47.01175,gave
40.35589,35.665604,high
3.6431715,30.80813,soul
-45.77754,15.3898,sure
5.4657884,71.43624,28
26.434206,0.0555345,far
-22.89677,52.660694,My
-43.96226,5.9180307,something
43.17155,29.037098,work
39.517918,19.337894,fire
-37.717823,-2.8042822,end
41.702488,2.2661107,half
-57.386818,-41.41679,Emma
-38.543526,-49.116486,morning
32.77882,70.52646,Moses
1.1367217,-46.583652,once
-38.7212,32.13068,How
-9.836198,20.237839,death
2.6136765,19.953176,given
26.76563,41.369556,behold
8.0845,18.2022,part
45.525753,19.796091,eat
-65.88457,-2.0898602,better
-12.488505,53.49311,Thou
44.753838,44.543877,Jerusalem
45.39667,44.654987,Judah
13.906477,38.85088,according
-39.65545,8.659322,poor
17.785564,60.15444,answered
5.4965525,71.83888,29
3.116025,36.588074,evil
36.628086,19.403135,water
-53.84528,17.55356,cannot
29.776192,2.2061484,full
-45.331394,2.2129588,enough
-11.610228,-38.588715,rather
13.882631,8.280416,His
24.248339,1.4782935,thus
-59.53282,-3.371239,told
-47.486786,19.356756,myself
-36.588703,-45.20877,going
28.009253,37.739395,themselves
-9.09666,58.509624,Let
63.517895,23.457882,hundred
47.270786,24.916634,offering
59.21738,-20.367105,light
27.482727,-1.6615467,With
21.453634,-59.91235,door
-48.477108,-0.4241372,indeed
-21.343262,-48.855583,moment
-28.19607,1.6002576,body
11.328395,-54.99728,began
63.65162,23.586355,thousand
25.169853,68.054474,brother
-60.522964,-19.197458,mind
-26.600256,25.308556,rest
9.436084,-18.111494,between
-50.799774,17.573372,!--
-2.3351586,-38.095684,each
-59.312927,-4.6596155,knew
-1.2150903,18.106735,All
-4.6219935,29.88451,sight
5.5306754,71.12483,30
41.775227,13.591347,heaven
19.544376,38.459545,dead
2.9865837,24.86834,whose
5.7249436,71.10835,31
15.024048,-41.7093,almost
30.763063,26.164066,turned
44.718796,-47.907463,ship
-58.549282,5.860409,find
21.19089,-60.51734,room
25.17232,68.07054,wife
6.0250115,38.90775,law
35.530148,20.471802,blood
-39.8582,32.42924,Why
-54.873856,-37.305176,friend
28.79989,51.8149,priest
-30.430641,-2.3586223,gone
-45.283844,21.1752,don
-32.10567,-35.07303,having
-57.35696,-41.322277,Elinor
-34.209335,23.250511,get
-1.5117359,40.108883,keep
-37.65184,3.638707,home
-44.96618,21.7981,ll
3.724498,-14.165055,new
