x,y,token
-53.439266,11.6362505,feel
-42.560966,-15.663937,made
-24.867998,31.433836,Look
-40.527706,-2.9389884,great
-58.965057,-1.0995735,keep
-48.444794,4.991567,nothing
-36.897835,0.9050997,girl
-27.761538,32.257782,sir
-59.215958,0.22952752,leave
-39.1126,-3.633891,Not
-34.00936,-16.031609,mother
-16.492752,-34.482563,new
-38.90312,1.8925185,big
-28.546057,33.59727,uh
-34.00239,25.764288,To
-48.696354,-10.7534895,may
-30.373371,-17.770426,own
-36.78884,29.438871,Where
-15.770202,-31.818134,kind
75.64579,17.832794,OF
-19.65495,-38.776,world
77.85447,18.112206,IT
-55.66527,18.780012,doesn
-41.308174,22.9717,does
-57.36159,-12.204288,through
75.26601,17.798767,AND
-59.317444,17.966114,Can
-33.95274,-15.410288,father
-36.701237,29.587496,Who
-24.348738,29.112286,l
-35.797737,-14.40578,friend
-38.049152,-24.114664,left
-33.755943,18.302883,Maybe
-48.98094,6.8473883,everything
-44.58725,-18.361446,done
-60.30616,4.804892,kill
-28.910067,31.260334,God
-41.113216,19.328953,Are
-35.367043,25.57734,Did
-39.0982,12.801628,enough
-39.819523,-7.2394,woman
-13.569972,-41.661694,every
-57.229668,7.9897356,believe
-27.642824,-28.846127,car
-60.371143,5.682437,ask
-38.690254,6.6173654,bad
-35.257683,-26.694693,another
-45.30001,-13.381932,wanted
-21.097088,-43.009506,lot
-47.051563,-3.6696904,someone
-33.365337,-29.839405,came
-56.004375,2.160276,yourself
-39.167847,-29.44662,looking
-26.353743,-43.514732,many
-39.409245,-2.0272303,being
-55.549824,18.65584,isn
74.129456,16.430979,T
-40.600285,-21.305538,found
-20.112297,-47.432957,three
-47.57158,13.699097,sorry
-19.722746,-38.95156,same
-32.214897,-19.721464,house
-5.6204877,-38.340805,which
-47.792072,-10.698846,might
-21.292227,-11.113929,Get
-38.645103,7.9225407,real
-17.977001,-12.656992,Here
77.9418,17.776323,THAT
-50.610874,15.215483,`
-45.55417,4.3174677,coming
-41.00997,-6.6022153,such
-42.137615,3.5911882,dead
12.502562,-30.969488,For
-33.378746,-29.842003,went
-43.65986,16.642849,wrong
-41.787052,-21.956665,already
-61.558643,-1.784384,bring
19.15159,-36.346157,One
-10.994706,33.15901,guys
-57.605324,6.255487,remember
-40.92512,-13.056958,saw
-22.999304,-29.158987,next
-19.67151,-46.935314,days
-36.40644,8.560412,boy
-55.751457,8.599623,mind
-33.95051,-6.0319524,called
-59.082573,16.01326,wouldn
-56.357754,3.9973147,else
-27.24563,28.920126,i
-31.829552,-18.33032,room
-42.857914,9.514646,getting
