x,y,token
-22.001862,35.275707,रय
-41.14989,4.541187,तब
-9.619826,27.267536,धन
-20.097122,25.79897,गत
14.205371,-22.521996,खर
-32.25866,3.8572092,समझ
-20.033754,18.62644,वल
-38.04147,-5.622141,इतन
27.434748,-6.910342,अल
-19.921131,6.9347687,आन
1.7319629,23.670341,दन
30.906277,8.336683,इल
-22.871569,-11.17609,एग
-29.78185,-26.856207,उठ
-11.214131,-22.932861,सबस
-36.271133,-4.338016,आज
-19.698072,-3.3298428,कन
-29.093037,23.064001,वक
12.290663,-28.604275,इसस
-47.22604,-4.0529275,ीं.
-28.995356,-15.522189,गल
-29.457632,-21.566763,खत
-18.43748,35.10943,रभ
-35.97029,-3.189626,अगर
-14.870492,42.230167,वस
4.009592,19.799631,नम
-11.028735,14.641347,सत
-13.379212,36.63963,अस
-15.723803,30.641548,पद
-4.7361355,34.441875,वत
-13.928573,17.072678,कस
0.38153014,19.672575,तम
-22.832148,-22.332361,आग
-25.50904,0.4569424,लगत
-6.6716013,39.851433,एव
-19.606977,20.438564,कत
-23.70239,25.345291,भव
10.83997,29.398514,यन
-36.876152,7.991817,खन
-42.214737,-3.591038,आपक
-24.122545,7.41217,चर
7.0252895,-17.720104,जह
-41.249928,-1.6958677,कहत
-13.823552,-8.9367,मर
41.13555,27.997063,टन
-5.7240543,25.88947,लय
-10.9600525,35.34958,उद
47.52831,-29.613506,पय
0.30285403,15.232931,धर
-16.786428,37.510067,रश
-35.982426,6.9907284,नन
49.147434,-17.37227,शत
15.866407,-28.86545,छल
-33.698906,-20.249865,बस
-44.95529,-7.6332383,ो.
-8.157527,2.3002365,कट
-41.86402,13.9009905,ें.
35.8374,-18.011017,:
-31.275713,11.3494835,इसल
2.7961054,42.876137,दक
-45.295673,-7.7752028,"ो,"
-14.324992,43.78203,यवस
-13.051801,3.1636994,करक
-15.222748,-35.475903,खड
-13.664961,-20.706043,सव
-22.415049,-16.843594,रहन
-37.957066,-0.9919065,"ीं,"
-13.102472,36.140083,तत
1.8133205,15.912158,अक
4.06517,19.819284,रध
-15.782389,-34.09168,कड
-25.27086,-3.5208635,पस
-22.487396,23.263597,इनक
-11.419187,27.02202,नव
36.064957,-7.280551,आई
15.8155365,9.397915,कप
-14.767164,-29.052792,़ों
-8.31719,-0.6137812,सस
-35.402462,-20.23089,जव
-1.3886639,-8.298704,अलग
-9.36577,35.944016,पश
-11.617645,32.58289,अप
18.434072,11.13716,नर
29.148628,4.47364,डर
-4.96105,-0.95545954,उम
-21.089176,30.643423,आक
-1.6267942,14.722351,मस
-19.210848,42.9434,महत
-30.516485,-15.297314,ऊ
-12.378329,20.59517,नस
19.829435,-32.985435,हमल
-33.92665,0.7626378,""""""
-19.212057,42.94709,वप
-38.55709,22.94235,इसम
-43.31813,-7.721156,ै?
-4.685052,-4.675828,दस
10.286149,-22.82565,अमर
-23.66913,7.9095554,आश
41.7744,-12.119865,लर
4.384568,37.05582,शब
-4.707073,26.72687,कव
-23.04641,-25.947128,आव
-2.518681,-3.3319607,रदर
-10.494292,5.3146157,नद
-22.711805,9.956854,नय
9.144045,-25.14066,़्
0.319303,-26.648062,बदल
-4.1556196,-16.28909,दब
-17.721891,33.136673,समस
22.009014,-0.04497269,सच
3.2611744,29.151403,परम
19.046703,31.268145,इट
-31.277937,-35.363083,ुँ
-44.391888,-10.127955,ा?
0.9371509,26.787497,मध
