x,y,token
29.41269,14.781443,s
-14.907563,10.306697,इत
-16.37706,-23.511616,हत
19.740282,14.479543,अक
3.5682056,-12.586852,आन
-27.898712,-2.281337,मर
-26.267303,-7.461127,घर
20.765081,24.90606,अफ
-40.71028,0.30845648,लस
-11.234875,6.439767,नद
-9.308337,-22.371475,रख
-18.708004,24.042494,आद
-9.8327675,-25.09514,ूँ
4.9591913,21.138966,ा-
-16.85865,-15.945825,यद
-12.049336,-25.10397,तरह
-5.4524317,16.564592,चक
-11.613055,5.1468024,शहर
-35.990593,10.155665,वप
0.90417635,32.46016,सद
-27.322584,0.34176874,वक
-21.27078,-4.2535753,बच
9.908908,29.00589,कड
-13.902892,-6.2859745,मत
10.429902,-18.334553,ी-
1.5458646,-18.777456,मद
32.740112,-15.605292,षक
-24.503586,-0.7938205,कत
-4.683158,24.467808,नगर
-30.270779,-16.301329,उपय
-7.3824444,21.88774,नस
-12.135357,16.252193,कव
2.0286574,-26.737955,ओर
0.28953233,-23.73971,बढ
7.3047547,-11.967287,पह
24.351286,9.114795,शत
28.771505,13.2059765,'
16.1364,-7.137107,सल
-22.80113,6.555139,तत
-7.0203004,-14.378561,ा।
-18.493614,3.2786324,बस
-25.408352,-13.901452,आव
-21.809069,-18.601713,आपक
2.6076803,26.46027,मस
-5.2422695,-25.549774,नन
4.6066847,15.81146,अव
22.914276,-17.120176,इट
-14.371213,-14.427176,तब
-8.694287,-10.439802,आग
-12.444633,26.503368,वव
-6.8498263,-23.568502,शर
10.531276,13.136618,आश
32.930576,10.682259,%
-15.190919,-20.654818,भर
-25.58409,3.0223012,इनक
-12.454135,29.22567,*
-18.292728,-5.448576,लगभग
11.600008,21.281118,कट
-26.074541,-5.2495465,रचन
-23.902235,1.9258589,उच
-22.483093,3.1293495,कस
-20.149405,4.494764,गन
-16.44622,22.773806,तव
-18.35068,-18.412876,?
-16.604443,19.247086,थल
10.025243,-22.341505,यल
-3.0013232,31.626383,नय
-24.361626,-18.46046,ा.
3.4798477,18.71287,नर
12.020765,-24.9677,हव
-14.144271,27.815468,पटन
-33.593235,-0.65170896,अरब
-14.579532,24.583345,डल
-24.546392,-13.138303,पस
-20.254866,-3.2459102,नम
-29.3407,-13.501633,रब
-21.206924,-21.144817,ैं।
-16.18818,-9.44004,बत
-40.70907,0.30499148,सज
-20.901255,3.156311,भव
-32.238796,-11.332177,दल
15.67948,-18.247213,़ो
-1.6232871,25.940298,यवस
-12.166134,13.873778,आल
